stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\eduardo.msantos28\source\repos\PI2-BCC\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.06791] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06798] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06803] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06808] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06819] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06824] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06830] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06835] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06841] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06847] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06852] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06856] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06861] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06866] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06870] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06875] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06880] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06885] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06891] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06896] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06901] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06907] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06912] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06917] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06923] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06928] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06933] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06937] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06942] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06947] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06954] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06959] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06964] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06969] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06975] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06980] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06986] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06991] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06997] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07004] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07011] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07016] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07027] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07032] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07041] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07059] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07063] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07069] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07081] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07087] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07093] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07098] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07103] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07108] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07114] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07123] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07129] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07134] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07140] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07146] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07151] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07155] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07161] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07166] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07171] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07176] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07183] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07188] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07195] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07201] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07207] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07211] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07218] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07227] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.07234] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.07242] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.07296] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.07303] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.09422] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.16012] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.16029] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.16038] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.16049] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.16057] Returning d3d_display: 0000028ADD47B650
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.16063] al_display=0000028ADD47B650
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.16070] al_display->vt=0000028ADD47B4A0
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16087] Also searching C:\Users\eduardo.msantos28\source\repos\PI2-BCC\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.16109] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:797  load_library_at_path             [   0.16117] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:800  load_library_at_path             [   0.16234] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.16242] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.16712] added dtor for bitmap 0000028AE009F4E0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16752] added dtor for bitmap 0000028AE009F100, func 00007FFF2876118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16892] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16907] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16915] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16921] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16928] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16936] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16945] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16952] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.16958] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.16964] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.16970] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.16977] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.16983] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.17025] added dtor for bitmap 0000028AE00A0C20, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17044] added dtor for sub_bitmap 0000028AE009F2F0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17053] added dtor for sub_bitmap 0000028AE00A0080, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17064] added dtor for sub_bitmap 0000028AE009F6D0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17070] added dtor for sub_bitmap 0000028AE009F8C0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17078] added dtor for sub_bitmap 0000028AE00A0A30, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17087] added dtor for sub_bitmap 0000028AE009FAB0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17093] added dtor for sub_bitmap 0000028AE009FE90, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17100] added dtor for sub_bitmap 0000028AE00A0650, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17108] added dtor for sub_bitmap 0000028AE6209AC0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17114] added dtor for sub_bitmap 0000028AE62098D0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17120] added dtor for sub_bitmap 0000028AE6209CB0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17129] added dtor for sub_bitmap 0000028AE62096E0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17137] added dtor for sub_bitmap 0000028AE6209EA0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17143] added dtor for sub_bitmap 0000028AE6208190, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17152] added dtor for sub_bitmap 0000028AE6208380, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17160] added dtor for sub_bitmap 0000028AE6208570, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17167] added dtor for sub_bitmap 0000028AE6208D30, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17176] added dtor for sub_bitmap 0000028AE6208760, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17184] added dtor for sub_bitmap 0000028AE6208950, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17191] added dtor for sub_bitmap 0000028AE6209110, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17197] added dtor for sub_bitmap 0000028AE6208B40, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17204] added dtor for sub_bitmap 0000028AE6209300, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17211] added dtor for sub_bitmap 0000028AE6208F20, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17219] added dtor for sub_bitmap 0000028AE62094F0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17228] added dtor for sub_bitmap 0000028AE620C980, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17235] added dtor for sub_bitmap 0000028AE620C1C0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17242] added dtor for sub_bitmap 0000028AE620D330, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17249] added dtor for sub_bitmap 0000028AE620DAF0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17256] added dtor for sub_bitmap 0000028AE620D520, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17263] added dtor for sub_bitmap 0000028AE620D900, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17270] added dtor for sub_bitmap 0000028AE620DCE0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17276] added dtor for sub_bitmap 0000028AE620DED0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17283] added dtor for sub_bitmap 0000028AE620D710, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17289] added dtor for sub_bitmap 0000028AE620C790, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17297] added dtor for sub_bitmap 0000028AE620C5A0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17307] added dtor for sub_bitmap 0000028AE620CB70, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17317] added dtor for sub_bitmap 0000028AE620C3B0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17323] added dtor for sub_bitmap 0000028AE620CD60, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17328] added dtor for sub_bitmap 0000028AE620CF50, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17337] added dtor for sub_bitmap 0000028AE620D140, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17343] added dtor for sub_bitmap 0000028AE620FB00, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17350] added dtor for sub_bitmap 0000028AE620FCF0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17356] added dtor for sub_bitmap 0000028AE620E990, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17363] added dtor for sub_bitmap 0000028AE620E5B0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17367] added dtor for sub_bitmap 0000028AE620EB80, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17374] added dtor for sub_bitmap 0000028AE620EF60, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17381] added dtor for sub_bitmap 0000028AE620F720, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17386] added dtor for sub_bitmap 0000028AE620FEE0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17392] added dtor for sub_bitmap 0000028AE620E7A0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17400] added dtor for sub_bitmap 0000028AE620E1D0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17408] added dtor for sub_bitmap 0000028AE620E3C0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17416] added dtor for sub_bitmap 0000028AE620ED70, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17422] added dtor for sub_bitmap 0000028AE620F150, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17429] added dtor for sub_bitmap 0000028AE620F340, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17438] added dtor for sub_bitmap 0000028AE620F530, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17445] added dtor for sub_bitmap 0000028AE620F910, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17453] added dtor for sub_bitmap 0000028AE62139C0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17460] added dtor for sub_bitmap 0000028AE6214F10, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17467] added dtor for sub_bitmap 0000028AE6214D20, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17476] added dtor for sub_bitmap 0000028AE6213200, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17483] added dtor for sub_bitmap 0000028AE62133F0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17489] added dtor for sub_bitmap 0000028AE62135E0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17497] added dtor for sub_bitmap 0000028AE6213F90, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17504] added dtor for sub_bitmap 0000028AE6213BB0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17512] added dtor for sub_bitmap 0000028AE62137D0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17517] added dtor for sub_bitmap 0000028AE6213DA0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17524] added dtor for sub_bitmap 0000028AE6214180, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17532] added dtor for sub_bitmap 0000028AE6214B30, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17538] added dtor for sub_bitmap 0000028AE6214370, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17544] added dtor for sub_bitmap 0000028AE6214560, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17551] added dtor for sub_bitmap 0000028AE6214750, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17559] added dtor for sub_bitmap 0000028AE6214940, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17566] added dtor for sub_bitmap 0000028AE6216F20, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17572] added dtor for sub_bitmap 0000028AE6216B40, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17577] added dtor for sub_bitmap 0000028AE6215210, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17583] added dtor for sub_bitmap 0000028AE62157E0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17591] added dtor for sub_bitmap 0000028AE62159D0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17599] added dtor for sub_bitmap 0000028AE6216D30, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17608] added dtor for sub_bitmap 0000028AE6215400, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17615] added dtor for sub_bitmap 0000028AE62155F0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17621] added dtor for sub_bitmap 0000028AE6215DB0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17627] added dtor for sub_bitmap 0000028AE6215BC0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17633] added dtor for sub_bitmap 0000028AE6215FA0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17640] added dtor for sub_bitmap 0000028AE6216190, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17648] added dtor for sub_bitmap 0000028AE6216950, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17654] added dtor for sub_bitmap 0000028AE6216380, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17660] added dtor for sub_bitmap 0000028AE6216570, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17666] added dtor for sub_bitmap 0000028AE6216760, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17673] added dtor for sub_bitmap 0000028AE621B0B0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17680] added dtor for sub_bitmap 0000028AE621A320, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17686] added dtor for sub_bitmap 0000028AE62193A0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17693] added dtor for sub_bitmap 0000028AE6218610, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17699] added dtor for sub_bitmap 0000028AE621AEC0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17706] added dtor for sub_bitmap 0000028AE621B680, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17713] added dtor for sub_bitmap 0000028AE6218800, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17721] added dtor for sub_bitmap 0000028AE62189F0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17728] added dtor for sub_bitmap 0000028AE621BC50, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17735] added dtor for sub_bitmap 0000028AE6218DD0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17741] added dtor for sub_bitmap 0000028AE6218230, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17748] added dtor for sub_bitmap 0000028AE6219590, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17754] added dtor for sub_bitmap 0000028AE6218420, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17761] added dtor for sub_bitmap 0000028AE6218BE0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17768] added dtor for sub_bitmap 0000028AE62191B0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17774] added dtor for sub_bitmap 0000028AE6219780, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17780] added dtor for sub_bitmap 0000028AE6218FC0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17787] added dtor for sub_bitmap 0000028AE621A8F0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17795] added dtor for sub_bitmap 0000028AE621A130, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17802] added dtor for sub_bitmap 0000028AE6219970, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17809] added dtor for sub_bitmap 0000028AE621B870, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17815] added dtor for sub_bitmap 0000028AE6219B60, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17821] added dtor for sub_bitmap 0000028AE621B2A0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17828] added dtor for sub_bitmap 0000028AE6219D50, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17834] added dtor for sub_bitmap 0000028AE6219F40, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17840] added dtor for sub_bitmap 0000028AE621A510, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17846] added dtor for sub_bitmap 0000028AE621A700, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17852] added dtor for sub_bitmap 0000028AE621AAE0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17858] added dtor for sub_bitmap 0000028AE621B490, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17865] added dtor for sub_bitmap 0000028AE621ACD0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17872] added dtor for sub_bitmap 0000028AE621BA60, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17879] added dtor for sub_bitmap 0000028AE621BE40, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17886] added dtor for sub_bitmap 0000028AE621F3C0, func 00007FFF2876118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.17899] added dtor for sub_bitmap 0000028AE6221890, func 00007FFF2876118B
